Seite,Klicks,Impressionen,CTR,Position
https://statistik.zh.ch/immomarkt,8614,52455,16.42%,7.45
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/wahlen_abstimmungen.html,7730,109259,7.07%,4.6
https://statistik.zh.ch/,6908,41814,16.52%,6.9
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/gemeindesteuerfuesse.html,5816,46528,12.5%,3.05
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2016/boden_webtool.html,4792,25835,18.55%,4.24
https://statistik.zh.ch/bodenpreise,3785,18429,20.54%,5.5
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern.html,3745,45160,8.29%,3.63
https://statistik.zh.ch/vornamen,3560,71345,4.99%,14.55
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html,1919,30226,6.35%,5.61
https://statistik.zh.ch/zhiz,1797,67511,2.66%,5.99
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/bevoelkerung_soziales.html,1785,108986,1.64%,6.65
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_23_alter_einkommen_vermoegen.pdf.spooler.download.1392889703857.pdf/si_2002_23_alter_einkommen_vermoegen.pdf,1615,11311,14.28%,8.1
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten.html,1569,26600,5.9%,4.46
https://statistik.zh.ch/zhiz/,1555,86298,1.8%,6.61
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/boden_webtool.html,1472,8924,16.49%,3.38
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2016_03_Lohnstudie.pdf.spooler.download.1510302368784.pdf/si_2016_03_Lohnstudie.pdf,1248,23530,5.3%,13.42
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/einkommen_vermoegen.html,1244,10943,11.37%,8.9
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerung.html,1111,27196,4.09%,7.4
https://statistik.zh.ch/armut,1099,8681,12.66%,9.05
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/konfession.html,971,25293,3.84%,6.93
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/immobilien_raum.html,964,10071,9.57%,14.13
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2004_04_mikrozensus_verkehr.pdf.spooler.download.1326986170894.pdf/si_2004_04_mikrozensus_verkehr.pdf,948,17027,5.57%,9.65
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/preise.html,880,11869,7.41%,8.34
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/Leerwohnungszaehlung.html,834,8338,10%,14.81
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2010/bodenpreismodell.html,770,4381,17.58%,4.48
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/faq.html,749,17790,4.21%,6.87
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/zhiz/_jcr_content/contentPar/publication_1/publicationitems/titel_wird_aus_dam_e_6/download.spooler.download.1463488383777.pdf/zhiz2016.pdf,707,14020,5.04%,7.29
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2015/kantonale_bip.html,690,7328,9.42%,13.08
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/loehne.html,685,12753,5.37%,9.05
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/dienstleistungen/registerharmonisierung/awn.html,541,8928,6.06%,6.25
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2008_06_babayboomer.pdf.spooler.download.1326986364531.pdf/si_2008_06_babayboomer.pdf,480,10812,4.44%,10.18
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/betriebe_beschaeftigte.html,453,3101,14.61%,5.88
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2016_03_Lohnstudie.pdf,432,7263,5.95%,12.04
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2017_07_Immo_preise.pdf.spooler.download.1510137207815.pdf/si_2017_07_Immo_preise.pdf,390,5555,7.02%,15.21
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/erwerbstaetige_arbeitslose.html,364,3811,9.55%,10.14
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist_0/downloaditems/163_1522993002832.spooler.download.1522992903332.pdf/jb_18_total.pdf,361,7298,4.95%,10.78
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist/downloaditems/100_1427959435214.spooler.download.1427959547505.pdf/jb_14_total_feb.pdf,355,3830,9.27%,9.06
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/mietpreisindex.html,341,3336,10.22%,6.86
https://statistik.zh.ch/jahrbuch,334,5102,6.55%,9.38
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/dienstleistungen/analysen/bevoelkerungsprognosen.html,313,2490,12.57%,6.08
